id,name,nation,position,price,club
USA_06,Limal,USA,DEF,6.0,
USA_07,Limander,USA,DEF,6.5,
USA_08,Limino,USA,MID,5.5,
USA_09,Limsson,USA,MID,6.0,
USA_10,Limez,USA,MID,8.0,
USA_11,Limard,USA,MID,8.0,
USA_12,Limot,USA,MID,5.5,
USA_13,Limius,USA,FWD,6.5,
USA_14,Limby,USA,FWD,7.0,
USA_15,Limek,USA,FWD,9.5,
MEX_01,Noren,Mexico,GK,5.0,
MEX_02,Noros,Mexico,GK,4.5,
MEX_03,Noric,Mexico,DEF,5.0,
MEX_04,Norke,Mexico,DEF,4.5,
MEX_05,Norov,Mexico,DEF,5.5,
MEX_06,Noral,Mexico,DEF,6.0,
MEX_07,Norander,Mexico,DEF,4.5,
MEX_08,Norino,Mexico,MID,5.0,
MEX_09,Norsson,Mexico,MID,6.5,
MEX_10,Norez,Mexico,MID,7.5,
MEX_11,Norard,Mexico,MID,8.0,
MEX_12,Norot,Mexico,MID,6.5,
MEX_13,Norius,Mexico,FWD,8.5,
MEX_14,Norby,Mexico,FWD,7.0,
MEX_15,Norek,Mexico,FWD,9.5,
JAP_01,Pasen,Japan,GK,5.0,
JAP_02,Pasos,Japan,GK,6.0,
JAP_03,Pasic,Japan,DEF,6.5,
JAP_04,Paske,Japan,DEF,6.0,
JAP_05,Pasov,Japan,DEF,6.0,
JAP_06,Pasal,Japan,DEF,6.5,
JAP_07,Pasander,Japan,DEF,4.5,
JAP_08,Pasino,Japan,MID,6.0,
JAP_09,Passson,Japan,MID,6.0,
JAP_10,Pasez,Japan,MID,8.0,
JAP_11,Pasard,Japan,MID,8.5,
JAP_12,Pasot,Japan,MID,5.5,
JAP_13,Pasius,Japan,FWD,6.5,
JAP_14,Pasby,Japan,FWD,8.5,
JAP_15,Pasek,Japan,FWD,9.5,
