player_id,status,p_start,exp_minutes
162,,0.9,80.0
161,,0.87,77.6
156,,0.84,75.2
1342,,0.81,72.8
158,,0.4,40.0
159,,0.12,17.6
160,,0.12,17.6
157,,0.12,17.6
164,,0.9,80.0
165,,0.87,77.6
1345,,0.84,75.2
167,,0.81,72.8
166,,0.4,40.0
169,,0.12,17.6
168,,0.12,17.6
170,,0.12,17.6
1366,,0.9,80.0
173,,0.87,77.6
1369,,0.84,75.2
1361,,0.81,72.8
188,,0.4,40.0
176,,0.12,17.6
190,,0.12,17.6
2073,,0.12,17.6
187,,0.12,17.6
186,,0.12,17.6
174,,0.9,80.0
181,,0.87,77.6
178,,0.4,40.0
177,,0.12,17.6
179,,0.12,17.6
183,,0.9,80.0
182,,0.4,40.0
1343,,0.12,17.6
1532,,0.9,80.0
195,,0.87,77.6
219,,0.84,75.2
217,,0.81,72.8
218,,0.4,40.0
1531,,0.12,17.6
196,,0.12,17.6
198,,0.12,17.6
1530,,0.12,17.6
203,,0.9,80.0
205,,0.87,77.6
1528,,0.84,75.2
1529,,0.81,72.8
199,,0.4,40.0
200,,0.12,17.6
201,,0.12,17.6
202,,0.12,17.6
206,,0.9,80.0
207,,0.87,77.6
208,,0.4,40.0
209,,0.12,17.6
210,,0.12,17.6
211,,0.12,17.6
216,,0.9,80.0
214,,0.4,40.0
215,,0.12,17.6
1961,,0.9,80.0
1963,,0.87,77.6
221,,0.84,75.2
225,,0.81,72.8
1964,,0.4,40.0
220,,0.12,17.6
1966,,0.12,17.6
223,,0.12,17.6
226,,0.9,80.0
227,,0.87,77.6
228,,0.4,40.0
1970,,0.12,17.6
229,,0.12,17.6
230,,0.12,17.6
235,,0.9,80.0
236,,0.4,40.0
237,,0.12,17.6
1967,,0.9,80.0
245,,0.87,77.6
241,,0.84,75.2
238,,0.81,72.8
243,,0.4,40.0
242,,0.12,17.6
1968,,0.12,17.6
240,,0.12,17.6
256,,0.9,80.0
270,,0.87,77.6
269,,0.84,75.2
271,,0.81,72.8
267,,0.4,40.0
268,,0.12,17.6
266,,0.12,17.6
265,,0.12,17.6
247,,0.12,17.6
1385,,0.12,17.6
246,,0.12,17.6
248,,0.9,80.0
252,,0.87,77.6
250,,0.84,75.2
249,,0.81,72.8
1374,,0.4,40.0
251,,0.12,17.6
253,,0.12,17.6
1379,,0.12,17.6
259,,0.9,80.0
1396,,0.87,77.6
257,,0.4,40.0
261,,0.12,17.6
262,,0.9,80.0
263,,0.4,40.0
264,,0.12,17.6
272,,0.9,80.0
275,,0.87,77.6
274,,0.84,75.2
273,,0.81,72.8
276,,0.4,40.0
1556,,0.12,17.6
277,,0.12,17.6
278,,0.12,17.6
281,,0.9,80.0
283,,0.87,77.6
285,,0.4,40.0
282,,0.12,17.6
284,,0.12,17.6
287,,0.12,17.6
288,,0.12,17.6
289,,0.9,80.0
290,,0.4,40.0
291,,0.12,17.6
294,,0.9,80.0
297,,0.87,77.6
296,,0.84,75.2
295,,0.81,72.8
293,,0.4,40.0
292,,0.12,17.6
1591,,0.12,17.6
1557,,0.12,17.6
323,,0.9,80.0
322,,0.87,77.6
321,,0.84,75.2
298,,0.81,72.8
320,,0.4,40.0
319,,0.12,17.6
303,,0.9,80.0
301,,0.87,77.6
299,,0.84,75.2
300,,0.81,72.8
305,,0.4,40.0
2051,,0.12,17.6
302,,0.12,17.6
304,,0.12,17.6
307,,0.9,80.0
310,,0.87,77.6
308,,0.4,40.0
311,,0.12,17.6
309,,0.12,17.6
312,,0.12,17.6
314,,0.12,17.6
1534,,0.12,17.6
1533,,0.12,17.6
317,,0.9,80.0
316,,0.4,40.0
318,,0.12,17.6
346,,0.9,80.0
348,,0.87,77.6
1537,,0.84,75.2
347,,0.81,72.8
324,,0.4,40.0
345,,0.12,17.6
343,,0.12,17.6
344,,0.12,17.6
341,,0.12,17.6
342,,0.12,17.6
1536,,0.9,80.0
330,,0.87,77.6
325,,0.84,75.2
327,,0.81,72.8
328,,0.4,40.0
326,,0.12,17.6
329,,0.12,17.6
334,,0.9,80.0
332,,0.87,77.6
333,,0.4,40.0
335,,0.12,17.6
336,,0.12,17.6
337,,0.12,17.6
338,,0.9,80.0
1535,,0.4,40.0
339,,0.12,17.6
350,,0.9,80.0
372,,0.87,77.6
351,,0.84,75.2
371,,0.81,72.8
352,,0.9,80.0
357,,0.87,77.6
358,,0.84,75.2
360,,0.81,72.8
353,,0.4,40.0
354,,0.12,17.6
1558,,0.12,17.6
1559,,0.12,17.6
355,,0.12,17.6
356,,0.12,17.6
359,,0.12,17.6
361,,0.12,17.6
366,,0.9,80.0
1560,,0.87,77.6
367,,0.4,40.0
362,,0.12,17.6
363,,0.12,17.6
364,,0.12,17.6
365,,0.12,17.6
370,,0.9,80.0
368,,0.4,40.0
369,,0.12,17.6
393,,0.9,80.0
397,,0.87,77.6
396,,0.84,75.2
395,,0.81,72.8
1417,,0.4,40.0
390,,0.12,17.6
391,,0.12,17.6
1413,,0.12,17.6
373,,0.12,17.6
1411,,0.12,17.6
380,,0.9,80.0
374,,0.87,77.6
375,,0.84,75.2
376,,0.81,72.8
378,,0.4,40.0
379,,0.12,17.6
1405,,0.12,17.6
381,,0.12,17.6
382,,0.9,80.0
1427,,0.87,77.6
384,,0.4,40.0
1425,,0.12,17.6
383,,0.12,17.6
387,,0.9,80.0
1400,,0.4,40.0
388,,0.12,17.6
430,,0.9,80.0
420,,0.87,77.6
1947,,0.84,75.2
427,,0.81,72.8
428,,0.4,40.0
414,,0.12,17.6
429,,0.12,17.6
398,,0.12,17.6
399,,0.12,17.6
2053,,0.9,80.0
2052,,0.87,77.6
400,,0.84,75.2
404,,0.81,72.8
403,,0.4,40.0
405,,0.12,17.6
411,,0.12,17.6
407,,0.12,17.6
412,,0.9,80.0
421,,0.87,77.6
415,,0.4,40.0
416,,0.12,17.6
417,,0.12,17.6
413,,0.12,17.6
423,,0.9,80.0
424,,0.4,40.0
425,,0.12,17.6
1597,,0.9,80.0
456,,0.87,77.6
435,,0.84,75.2
455,,0.81,72.8
433,,0.4,40.0
1594,,0.12,17.6
436,,0.12,17.6
434,,0.12,17.6
432,,0.12,17.6
1593,,0.12,17.6
437,,0.9,80.0
439,,0.87,77.6
444,,0.84,75.2
438,,0.81,72.8
440,,0.4,40.0
442,,0.12,17.6
1592,,0.12,17.6
441,,0.12,17.6
445,,0.9,80.0
447,,0.87,77.6
448,,0.4,40.0
1596,,0.12,17.6
453,,0.9,80.0
451,,0.4,40.0
454,,0.12,17.6
452,,0.12,17.6
457,,0.9,80.0
461,,0.87,77.6
1709,,0.84,75.2
463,,0.81,72.8
466,,0.4,40.0
459,,0.12,17.6
462,,0.12,17.6
467,,0.12,17.6
1708,,0.12,17.6
468,,0.9,80.0
1711,,0.87,77.6
1712,,0.4,40.0
476,,0.12,17.6
491,,0.9,80.0
488,,0.87,77.6
469,,0.84,75.2
471,,0.81,72.8
1710,,0.4,40.0
474,,0.12,17.6
475,,0.12,17.6
486,,0.12,17.6
485,,0.12,17.6
482,,0.12,17.6
477,,0.9,80.0
478,,0.4,40.0
479,,0.12,17.6
1429,,0.9,80.0
1430,,0.87,77.6
494,,0.84,75.2
492,,0.81,72.8
496,,0.4,40.0
495,,0.12,17.6
498,,0.12,17.6
499,,0.12,17.6
493,,0.12,17.6
500,,0.9,80.0
502,,0.87,77.6
1432,,0.4,40.0
517,,0.9,80.0
501,,0.87,77.6
516,,0.84,75.2
505,,0.81,72.8
1431,,0.4,40.0
515,,0.12,17.6
510,,0.12,17.6
514,,0.12,17.6
511,,0.12,17.6
512,,0.12,17.6
509,,0.12,17.6
506,,0.9,80.0
508,,0.4,40.0
1428,,0.12,17.6
543,,0.9,80.0
1600,,0.87,77.6
529,,0.84,75.2
1603,,0.81,72.8
1599,,0.4,40.0
540,,0.12,17.6
519,,0.12,17.6
1602,,0.12,17.6
538,,0.12,17.6
1601,,0.12,17.6
2072,,0.12,17.6
542,,0.9,80.0
520,,0.87,77.6
523,,0.84,75.2
526,,0.81,72.8
521,,0.4,40.0
522,,0.12,17.6
525,,0.12,17.6
527,,0.12,17.6
528,,0.9,80.0
532,,0.87,77.6
531,,0.4,40.0
1604,,0.12,17.6
1598,,0.9,80.0
533,,0.4,40.0
534,,0.12,17.6
1971,,0.9,80.0
565,,0.4,40.0
1972,,0.12,17.6
571,,0.9,80.0
1539,,0.87,77.6
572,,0.84,75.2
573,,0.81,72.8
569,,0.4,40.0
581,,0.9,80.0
577,,0.87,77.6
578,,0.84,75.2
1538,,0.81,72.8
574,,0.4,40.0
575,,0.12,17.6
576,,0.12,17.6
580,,0.12,17.6
582,,0.9,80.0
583,,0.87,77.6
584,,0.4,40.0
590,,0.12,17.6
585,,0.12,17.6
586,,0.12,17.6
588,,0.12,17.6
589,,0.12,17.6
1540,,0.12,17.6
591,,0.9,80.0
593,,0.4,40.0
592,,0.12,17.6
594,,0.9,80.0
627,,0.87,77.6
629,,0.84,75.2
625,,0.81,72.8
626,,0.4,40.0
596,,0.12,17.6
1561,,0.12,17.6
597,,0.9,80.0
606,,0.87,77.6
608,,0.84,75.2
598,,0.81,72.8
599,,0.4,40.0
600,,0.12,17.6
601,,0.12,17.6
603,,0.12,17.6
609,,0.12,17.6
610,,0.9,80.0
612,,0.87,77.6
611,,0.4,40.0
2069,,0.12,17.6
614,,0.12,17.6
615,,0.12,17.6
616,,0.12,17.6
620,,0.9,80.0
621,,0.4,40.0
622,,0.12,17.6
656,,0.9,80.0
657,,0.87,77.6
635,,0.84,75.2
636,,0.81,72.8
634,,0.4,40.0
630,,0.12,17.6
631,,0.12,17.6
1568,,0.12,17.6
637,,0.9,80.0
644,,0.87,77.6
638,,0.84,75.2
639,,0.81,72.8
641,,0.4,40.0
642,,0.12,17.6
1564,,0.12,17.6
643,,0.12,17.6
645,,0.12,17.6
646,,0.9,80.0
647,,0.87,77.6
648,,0.4,40.0
649,,0.12,17.6
650,,0.12,17.6
651,,0.12,17.6
1563,,0.9,80.0
653,,0.4,40.0
654,,0.12,17.6
1458,,0.9,80.0
669,,0.87,77.6
670,,0.84,75.2
681,,0.81,72.8
680,,0.4,40.0
1457,,0.12,17.6
682,,0.12,17.6
671,,0.12,17.6
659,,0.12,17.6
684,,0.9,80.0
1455,,0.87,77.6
668,,0.84,75.2
1454,,0.81,72.8
665,,0.4,40.0
662,,0.12,17.6
663,,0.12,17.6
667,,0.12,17.6
1456,,0.12,17.6
666,,0.12,17.6
672,,0.9,80.0
673,,0.87,77.6
676,,0.4,40.0
675,,0.12,17.6
677,,0.9,80.0
678,,0.4,40.0
679,,0.12,17.6
689,,0.9,80.0
687,,0.87,77.6
688,,0.84,75.2
1546,,0.81,72.8
686,,0.4,40.0
690,,0.9,80.0
692,,0.87,77.6
1543,,0.84,75.2
1544,,0.81,72.8
1545,,0.4,40.0
691,,0.12,17.6
693,,0.12,17.6
695,,0.12,17.6
696,,0.12,17.6
698,,0.12,17.6
699,,0.12,17.6
700,,0.12,17.6
701,,0.9,80.0
1547,,0.87,77.6
707,,0.4,40.0
702,,0.12,17.6
703,,0.12,17.6
708,,0.12,17.6
710,,0.9,80.0
709,,0.4,40.0
1541,,0.12,17.6
736,,0.9,80.0
737,,0.87,77.6
735,,0.84,75.2
1549,,0.81,72.8
732,,0.4,40.0
733,,0.12,17.6
713,,0.12,17.6
714,,0.12,17.6
1550,,0.12,17.6
715,,0.9,80.0
1548,,0.87,77.6
716,,0.84,75.2
718,,0.81,72.8
722,,0.4,40.0
719,,0.12,17.6
720,,0.12,17.6
2070,,0.12,17.6
723,,0.9,80.0
724,,0.87,77.6
725,,0.4,40.0
726,,0.12,17.6
727,,0.12,17.6
728,,0.12,17.6
729,,0.9,80.0
730,,0.4,40.0
731,,0.12,17.6
758,,0.96,86.0
1476,,0.05,6.0
1474,,0.05,6.0
763,,0.96,86.0
1477,,0.05,6.0
1473,,0.05,6.0
762,,0.05,6.0
738,,0.05,6.0
759,,0.96,86.0
1478,,0.05,6.0
740,,0.96,86.0
742,,0.96,86.0
741,,0.96,86.0
743,,0.05,6.0
1465,,0.05,6.0
744,,0.96,86.0
748,,0.96,86.0
1485,,0.05,6.0
750,,0.96,86.0
751,,0.05,6.0
752,,0.96,86.0
753,,0.05,6.0
754,,0.05,6.0
755,,0.05,6.0
757,,0.96,86.0
756,,0.05,6.0
2020,,0.9,80.0
792,,0.87,77.6
2021,,0.84,75.2
2022,,0.81,72.8
2018,,0.4,40.0
2019,,0.12,17.6
1674,,0.12,17.6
765,,0.12,17.6
1675,,0.12,17.6
2012,,0.9,80.0
2014,,0.87,77.6
2016,,0.84,75.2
2015,,0.81,72.8
2017,,0.4,40.0
2013,,0.12,17.6
773,,0.12,17.6
1668,,0.12,17.6
782,,0.9,80.0
777,,0.87,77.6
2023,,0.4,40.0
2025,,0.12,17.6
1713,,0.12,17.6
1676,,0.12,17.6
796,,0.9,80.0
795,,0.87,77.6
797,,0.84,75.2
798,,0.81,72.8
802,,0.4,40.0
803,,0.12,17.6
2074,,0.12,17.6
804,,0.9,80.0
2043,,0.87,77.6
805,,0.4,40.0
806,,0.12,17.6
807,,0.12,17.6
808,,0.12,17.6
809,,0.9,80.0
2036,,0.4,40.0
810,,0.12,17.6
2040,,0.9,80.0
816,,0.87,77.6
812,,0.84,75.2
817,,0.81,72.8
2042,,0.4,40.0
2044,,0.12,17.6
814,,0.12,17.6
2041,,0.12,17.6
2038,,0.12,17.6
2039,,0.12,17.6
836,,0.9,80.0
823,,0.87,77.6
822,,0.84,75.2
1494,,0.81,72.8
821,,0.4,40.0
820,,0.12,17.6
818,,0.12,17.6
832,,0.12,17.6
827,,0.9,80.0
829,,0.87,77.6
1489,,0.84,75.2
1488,,0.81,72.8
1490,,0.4,40.0
825,,0.12,17.6
826,,0.12,17.6
1491,,0.12,17.6
830,,0.12,17.6
1492,,0.9,80.0
1493,,0.87,77.6
835,,0.4,40.0
831,,0.12,17.6
833,,0.12,17.6
834,,0.12,17.6
838,,0.9,80.0
839,,0.4,40.0
840,,0.12,17.6
1684,,0.9,80.0
863,,0.87,77.6
1683,,0.84,75.2
843,,0.81,72.8
864,,0.4,40.0
862,,0.12,17.6
845,,0.12,17.6
1682,,0.12,17.6
844,,0.12,17.6
841,,0.12,17.6
847,,0.9,80.0
850,,0.87,77.6
846,,0.84,75.2
849,,0.81,72.8
851,,0.4,40.0
1714,,0.12,17.6
848,,0.12,17.6
852,,0.12,17.6
854,,0.12,17.6
855,,0.9,80.0
856,,0.87,77.6
857,,0.4,40.0
858,,0.12,17.6
859,,0.9,80.0
1681,,0.4,40.0
860,,0.12,17.6
887,,0.9,80.0
867,,0.87,77.6
868,,0.84,75.2
869,,0.81,72.8
866,,0.4,40.0
865,,0.12,17.6
870,,0.9,80.0
871,,0.87,77.6
872,,0.84,75.2
2026,,0.81,72.8
873,,0.4,40.0
875,,0.12,17.6
876,,0.12,17.6
2027,,0.12,17.6
874,,0.12,17.6
878,,0.12,17.6
881,,0.9,80.0
879,,0.87,77.6
880,,0.4,40.0
2030,,0.12,17.6
882,,0.12,17.6
2029,,0.12,17.6
2028,,0.12,17.6
884,,0.9,80.0
885,,0.4,40.0
886,,0.12,17.6
901,,0.9,80.0
913,,0.87,77.6
912,,0.84,75.2
889,,0.81,72.8
892,,0.4,40.0
911,,0.12,17.6
890,,0.12,17.6
1616,,0.12,17.6
888,,0.12,17.6
893,,0.9,80.0
895,,0.87,77.6
896,,0.84,75.2
894,,0.81,72.8
899,,0.4,40.0
900,,0.12,17.6
898,,0.12,17.6
902,,0.9,80.0
904,,0.87,77.6
905,,0.4,40.0
907,,0.12,17.6
1688,,0.12,17.6
903,,0.12,17.6
906,,0.12,17.6
910,,0.9,80.0
908,,0.4,40.0
909,,0.12,17.6
939,,0.9,80.0
936,,0.87,77.6
1572,,0.84,75.2
1574,,0.81,72.8
937,,0.4,40.0
925,,0.12,17.6
935,,0.12,17.6
934,,0.12,17.6
928,,0.12,17.6
915,,0.12,17.6
916,,0.9,80.0
917,,0.87,77.6
1570,,0.84,75.2
918,,0.81,72.8
919,,0.4,40.0
1571,,0.12,17.6
921,,0.12,17.6
922,,0.12,17.6
1573,,0.9,80.0
924,,0.87,77.6
923,,0.4,40.0
926,,0.12,17.6
927,,0.12,17.6
1569,,0.9,80.0
931,,0.4,40.0
932,,0.12,17.6
1509,,0.9,80.0
1508,,0.87,77.6
947,,0.84,75.2
942,,0.81,72.8
946,,0.4,40.0
944,,0.12,17.6
943,,0.12,17.6
949,,0.9,80.0
951,,0.87,77.6
952,,0.84,75.2
1507,,0.81,72.8
1506,,0.4,40.0
955,,0.12,17.6
957,,0.12,17.6
958,,0.9,80.0
960,,0.87,77.6
1510,,0.4,40.0
959,,0.12,17.6
1511,,0.12,17.6
961,,0.12,17.6
1513,,0.12,17.6
962,,0.12,17.6
963,,0.12,17.6
971,,0.9,80.0
968,,0.4,40.0
969,,0.12,17.6
1956,,0.9,80.0
972,,0.87,77.6
1955,,0.84,75.2
1957,,0.81,72.8
982,,0.4,40.0
1958,,0.12,17.6
978,,0.12,17.6
980,,0.12,17.6
977,,0.12,17.6
983,,0.9,80.0
1953,,0.87,77.6
1951,,0.84,75.2
987,,0.81,72.8
991,,0.4,40.0
1954,,0.12,17.6
984,,0.12,17.6
985,,0.12,17.6
986,,0.12,17.6
993,,0.9,80.0
995,,0.87,77.6
992,,0.4,40.0
994,,0.12,17.6
997,,0.12,17.6
1001,,0.9,80.0
999,,0.4,40.0
1000,,0.12,17.6
1027,,0.9,80.0
1003,,0.87,77.6
1007,,0.84,75.2
1578,,0.81,72.8
1028,,0.4,40.0
1008,,0.12,17.6
2060,,0.12,17.6
1009,,0.9,80.0
1010,,0.87,77.6
1577,,0.84,75.2
1011,,0.81,72.8
1012,,0.4,40.0
1014,,0.12,17.6
1018,,0.12,17.6
1013,,0.12,17.6
1015,,0.12,17.6
1016,,0.12,17.6
1580,,0.9,80.0
1019,,0.87,77.6
1023,,0.4,40.0
1579,,0.12,17.6
1021,,0.12,17.6
1022,,0.12,17.6
1576,,0.9,80.0
1025,,0.4,40.0
1024,,0.12,17.6
1696,,0.9,80.0
1030,,0.87,77.6
1056,,0.84,75.2
1032,,0.81,72.8
1055,,0.4,40.0
1029,,0.12,17.6
1054,,0.12,17.6
1031,,0.12,17.6
1695,,0.12,17.6
1037,,0.9,80.0
1035,,0.87,77.6
1033,,0.84,75.2
1039,,0.81,72.8
1034,,0.4,40.0
1036,,0.12,17.6
1038,,0.12,17.6
1042,,0.9,80.0
1043,,0.87,77.6
1041,,0.4,40.0
1046,,0.12,17.6
1047,,0.12,17.6
1048,,0.12,17.6
1049,,0.12,17.6
1051,,0.9,80.0
1052,,0.4,40.0
1053,,0.12,17.6
1057,,0.96,86.0
1707,,0.96,86.0
1062,,0.96,86.0
1060,,0.05,6.0
1061,,0.05,6.0
1704,,0.05,6.0
1058,,0.96,86.0
1059,,0.05,6.0
1067,,0.96,86.0
1700,,0.05,6.0
1063,,0.96,86.0
1065,,0.96,86.0
1701,,0.05,6.0
1064,,0.05,6.0
1066,,0.96,86.0
1068,,0.05,6.0
1069,,0.96,86.0
1070,,0.05,6.0
1071,,0.96,86.0
1072,,0.05,6.0
1073,,0.05,6.0
1075,,0.05,6.0
1076,,0.05,6.0
1077,,0.96,86.0
1078,,0.05,6.0
1698,,0.05,6.0
1092,,0.9,80.0
1106,,0.87,77.6
2000,,0.84,75.2
1105,,0.81,72.8
1104,,0.4,40.0
1998,,0.12,17.6
1999,,0.12,17.6
1997,,0.12,17.6
1084,,0.12,17.6
1082,,0.12,17.6
1081,,0.12,17.6
1088,,0.9,80.0
1085,,0.87,77.6
1086,,0.84,75.2
1102,,0.81,72.8
1089,,0.4,40.0
1087,,0.12,17.6
1995,,0.12,17.6
1996,,0.12,17.6
1094,,0.9,80.0
1093,,0.87,77.6
1095,,0.4,40.0
1097,,0.12,17.6
1098,,0.9,80.0
1099,,0.4,40.0
1101,,0.12,17.6
1113,,0.9,80.0
1114,,0.87,77.6
1111,,0.84,75.2
1519,,0.81,72.8
2062,,0.4,40.0
1117,,0.12,17.6
1116,,0.12,17.6
1112,,0.12,17.6
1109,,0.12,17.6
1110,,0.12,17.6
1121,,0.9,80.0
1118,,0.87,77.6
1119,,0.84,75.2
1120,,0.81,72.8
1518,,0.4,40.0
1122,,0.12,17.6
1516,,0.12,17.6
1124,,0.9,80.0
1520,,0.87,77.6
1125,,0.4,40.0
1126,,0.12,17.6
1127,,0.12,17.6
1521,,0.12,17.6
1129,,0.9,80.0
1514,,0.4,40.0
1515,,0.12,17.6
1135,,0.9,80.0
1158,,0.87,77.6
1157,,0.84,75.2
1140,,0.81,72.8
1156,,0.4,40.0
1581,,0.12,17.6
1137,,0.12,17.6
1138,,0.12,17.6
1133,,0.12,17.6
1139,,0.12,17.6
1141,,0.9,80.0
1143,,0.87,77.6
1142,,0.84,75.2
1144,,0.81,72.8
1145,,0.4,40.0
1146,,0.12,17.6
1147,,0.12,17.6
1148,,0.12,17.6
1149,,0.9,80.0
1151,,0.87,77.6
1150,,0.4,40.0
1583,,0.12,17.6
1582,,0.12,17.6
1153,,0.9,80.0
1154,,0.4,40.0
1155,,0.12,17.6
1163,,0.9,80.0
1555,,0.87,77.6
1164,,0.84,75.2
1162,,0.81,72.8
1554,,0.4,40.0
1160,,0.12,17.6
1161,,0.12,17.6
1166,,0.9,80.0
1551,,0.87,77.6
1165,,0.84,75.2
1553,,0.81,72.8
1167,,0.4,40.0
1169,,0.12,17.6
1170,,0.12,17.6
1552,,0.12,17.6
1172,,0.12,17.6
1183,,0.9,80.0
1181,,0.87,77.6
1174,,0.4,40.0
1175,,0.12,17.6
1176,,0.12,17.6
1177,,0.12,17.6
1178,,0.12,17.6
1184,,0.9,80.0
1187,,0.4,40.0
1185,,0.12,17.6
1215,,0.9,80.0
1204,,0.87,77.6
1216,,0.84,75.2
1192,,0.81,72.8
1191,,0.4,40.0
1589,,0.12,17.6
1189,,0.12,17.6
1188,,0.12,17.6
1195,,0.9,80.0
1201,,0.87,77.6
1200,,0.84,75.2
1586,,0.81,72.8
1198,,0.4,40.0
1193,,0.12,17.6
1194,,0.12,17.6
1199,,0.12,17.6
1196,,0.12,17.6
1197,,0.12,17.6
1208,,0.9,80.0
1206,,0.87,77.6
1205,,0.4,40.0
1209,,0.12,17.6
1210,,0.12,17.6
1211,,0.9,80.0
1212,,0.4,40.0
1213,,0.12,17.6
1248,,0.9,80.0
1223,,0.87,77.6
1247,,0.84,75.2
2064,,0.81,72.8
1224,,0.4,40.0
2065,,0.12,17.6
1225,,0.12,17.6
1222,,0.12,17.6
1219,,0.12,17.6
1218,,0.12,17.6
1226,,0.9,80.0
1229,,0.87,77.6
1227,,0.84,75.2
1230,,0.81,72.8
2063,,0.4,40.0
1228,,0.12,17.6
1231,,0.12,17.6
1232,,0.12,17.6
1236,,0.9,80.0
1238,,0.87,77.6
1237,,0.4,40.0
1239,,0.12,17.6
1241,,0.12,17.6
1244,,0.9,80.0
1245,,0.4,40.0
1246,,0.12,17.6
1274,,0.9,80.0
1255,,0.87,77.6
1254,,0.84,75.2
1265,,0.81,72.8
1253,,0.4,40.0
1256,,0.12,17.6
2033,,0.12,17.6
2035,,0.12,17.6
1249,,0.12,17.6
1250,,0.12,17.6
1258,,0.9,80.0
2031,,0.87,77.6
1259,,0.84,75.2
1264,,0.81,72.8
2032,,0.4,40.0
1261,,0.12,17.6
1262,,0.12,17.6
1260,,0.12,17.6
1263,,0.12,17.6
1267,,0.9,80.0
1266,,0.87,77.6
2034,,0.4,40.0
1269,,0.12,17.6
1270,,0.9,80.0
1273,,0.4,40.0
1271,,0.12,17.6
1284,,0.9,80.0
1292,,0.87,77.6
1291,,0.84,75.2
1290,,0.81,72.8
1289,,0.4,40.0
1287,,0.12,17.6
1288,,0.12,17.6
1275,,0.12,17.6
1286,,0.12,17.6
1278,,0.12,17.6
1282,,0.12,17.6
1293,,0.9,80.0
1300,,0.87,77.6
1294,,0.84,75.2
1295,,0.81,72.8
1296,,0.4,40.0
1297,,0.12,17.6
1302,,0.12,17.6
1303,,0.12,17.6
1305,,0.12,17.6
1306,,0.9,80.0
1310,,0.87,77.6
1307,,0.4,40.0
1311,,0.9,80.0
1314,,0.4,40.0
1312,,0.12,17.6
1988,,0.9,80.0
1983,,0.87,77.6
1984,,0.84,75.2
1445,,0.81,72.8
1982,,0.4,40.0
1985,,0.12,17.6
